umbral,recall,precision,f1,falsos_negativos,falsos_positivos,costo,tasa_rechazo
0.01,1.0,0.2212,0.3622666229937766,0,5841,5841.0,1.0
0.0198,1.0,0.2212,0.3622666229937766,0,5841,5841.0,1.0
0.0296,1.0,0.2212,0.3622666229937766,0,5841,5841.0,1.0
0.0394,0.9993972272453285,0.22159850307404438,0.362761185865879,1,5824,5829.0,0.9976
0.0492,0.9963833634719711,0.22774869109947643,0.37075249523382303,6,5605,5635.0,0.9677333333333333
0.059,0.9843279083785413,0.23846378504672897,0.38391912542611967,26,5215,5345.0,0.9130666666666667
0.0688,0.9722724532851115,0.25152034929050365,0.3996531219028741,46,4800,5030.0,0.8550666666666666
0.0786,0.9517781796262809,0.2633422281521014,0.4125408229915088,80,4417,4817.0,0.7994666666666667
0.0884,0.9288728149487643,0.2743945868945869,0.4236426116838488,118,4075,4665.0,0.7488
0.0982,0.9059674502712477,0.28509104704097116,0.43370365026691676,156,3769,4549.0,0.7029333333333333
0.108,0.8872814948764316,0.29864069791032666,0.44687310261080754,187,3457,4392.0,0.6572
0.1178,0.8631705846895721,0.30948778906418845,0.45561565383391667,227,3195,4330.0,0.6169333333333333
0.1276,0.836045810729355,0.32406542056074766,0.467082000336757,272,2893,4253.0,0.5706666666666667
0.1374,0.8119349005424955,0.3393801965230537,0.47867803837953093,312,2622,4182.0,0.5292
0.1472,0.7902350813743219,0.3523246439129266,0.48736059479553906,348,2410,4150.0,0.4961333333333333
0.157,0.7631103074141049,0.36770258495498115,0.49627597020776165,393,2177,4142.0,0.4590666666666667
0.1668,0.7359855334538878,0.3839622641509434,0.504649721016739,438,1959,4149.0,0.424
0.1766,0.7148884870403858,0.40299014610941214,0.5154280747501087,473,1757,4122.0,0.3924
0.1864,0.6895720313441832,0.41374321880650994,0.5171790235081374,515,1621,4196.0,0.36866666666666664
0.1962,0.6702833031946956,0.42687140115163147,0.5215759849906192,547,1493,4228.0,0.3473333333333333
0.206,0.6564195298372514,0.4366479550922213,0.5244401637370576,570,1405,4255.0,0.33253333333333335
0.2158,0.646172393007836,0.4517488411293721,0.5317460317460317,587,1301,4236.0,0.3164
0.2256,0.6377335744424352,0.4658740642888595,0.5384223918575064,601,1213,4218.0,0.3028
0.2354,0.6262808921036769,0.4783609576427256,0.5424171234664579,620,1133,4233.0,0.2896
0.2452,0.6148282097649186,0.4885057471264368,0.544435548438751,639,1068,4263.0,0.2784
0.255,0.6027727546714888,0.49652432969215493,0.5445140212360469,659,1014,4309.0,0.26853333333333335
0.2648,0.593128390596745,0.5082644628099173,0.5474269819193324,675,952,4327.0,0.2581333333333333
0.2746,0.5828812537673297,0.5176659528907923,0.5483413666005104,692,901,4361.0,0.24906666666666666
0.2844,0.568414707655214,0.5250556792873051,0.5458755426917511,716,853,4433.0,0.23946666666666666
0.2942,0.5599758890898131,0.5305539691604797,0.5448680351906159,730,822,4472.0,0.23346666666666666
0.304,0.5515370705244123,0.5385520894643908,0.5449672424061942,744,784,4504.0,0.22653333333333334
0.3138,0.5430982519590114,0.5470552519732848,0.5450695704779189,758,746,4536.0,0.2196
0.3236,0.5346594333936107,0.5550688360450563,0.5446730119742094,772,711,4571.0,0.21306666666666665
0.3334,0.5183845690174804,0.5602605863192183,0.5385097056981841,799,675,4670.0,0.20466666666666666
0.3432,0.5045207956600362,0.5690006798096533,0.5348242811501598,822,634,4744.0,0.19613333333333333
0.353,0.49306811332127787,0.5789101203113942,0.5325520833333334,841,595,4800.0,0.1884
0.3628,0.4798071127185051,0.5900667160859896,0.5292553191489362,863,553,4868.0,0.17986666666666667
0.3726,0.4665461121157324,0.6046875,0.5267097652262674,885,506,4931.0,0.17066666666666666
0.3824,0.4550934297769741,0.6083803384367445,0.5206896551724138,904,486,5006.0,0.16546666666666668
0.3922,0.45027124773960214,0.6163366336633663,0.5203761755485894,912,465,5025.0,0.1616
0.402,0.4370102471368294,0.6191289496157131,0.5123674911660777,934,446,5116.0,0.15613333333333335
0.4118,0.4309825195901145,0.6244541484716157,0.5099857346647646,944,430,5150.0,0.15266666666666667
0.4216,0.4231464737793852,0.6358695652173914,0.50814332247557,957,402,5187.0,0.1472
0.4314,0.4128993369499699,0.6383970177073626,0.5014641288433382,974,388,5258.0,0.14306666666666668
0.4412,0.40807715491259794,0.6447619047619048,0.4998154300479882,982,373,5283.0,0.14
0.451,0.4002411091018686,0.6465433300876339,0.49441548771407295,995,363,5338.0,0.13693333333333332
0.4608,0.39180229053646776,0.6513026052104208,0.4892736168611216,1009,348,5393.0,0.13306666666666667
0.4706,0.3887884267631103,0.6568228105906314,0.48845134418780767,1014,337,5407.0,0.13093333333333335
0.4804,0.3821579264617239,0.6583592938733126,0.4836003051106026,1025,329,5454.0,0.1284
0.4902,0.37613019891500904,0.6624203821656051,0.4798154555940023,1035,318,5493.0,0.1256
0.5,0.3688969258589512,0.6616216216216216,0.47368421052631576,1047,313,5548.0,0.12333333333333334
0.5098,0.3640747438215793,0.6659316427783903,0.47077162899454406,1055,303,5578.0,0.12093333333333334
0.5196,0.35804701627486435,0.6704288939051919,0.4667976424361493,1065,292,5617.0,0.11813333333333334
0.5294,0.352622061482821,0.6794425087108014,0.4642857142857143,1074,276,5646.0,0.1148
0.5392,0.34900542495479203,0.6819787985865724,0.46172248803827753,1080,270,5670.0,0.1132
0.549,0.33936106088004825,0.683252427184466,0.45348368908578335,1096,261,5741.0,0.10986666666666667
0.5588,0.33212778782399033,0.6861768368617683,0.4476035743298132,1108,252,5792.0,0.10706666666666667
0.5686,0.324291742013261,0.6906290115532734,0.4413453650533224,1121,241,5846.0,0.10386666666666666
0.5784,0.31705846895720313,0.6921052631578948,0.4348904505994213,1133,234,5899.0,0.10133333333333333
0.5882,0.3116335141651597,0.6958277254374159,0.43047460449625313,1142,226,5936.0,0.09906666666666666
0.598,0.3050030138637734,0.7047353760445683,0.4257467395877156,1153,212,5977.0,0.09573333333333334
0.6078,0.30078360458107295,0.7088068181818182,0.42234447735928904,1160,205,6005.0,0.09386666666666667
0.6176,0.2923447860156721,0.7111436950146628,0.4143528406663819,1174,197,6067.0,0.09093333333333334
0.6274,0.2833031946955998,0.7132018209408194,0.4055220017256255,1189,189,6134.0,0.08786666666666666
0.6372,0.27365883062085594,0.7252396166134185,0.3973741794310722,1205,172,6197.0,0.08346666666666666
0.647,0.26220614828209765,0.725,0.3851261620185923,1224,165,6285.0,0.08
0.6568,0.2525617842073538,0.7376760563380281,0.3762909744050292,1240,149,6349.0,0.07573333333333333
0.6666,0.23869801084990958,0.7401869158878505,0.3609845031905196,1263,139,6454.0,0.07133333333333333
0.6764,0.22483423749246534,0.7520161290322581,0.34617169373549883,1286,123,6553.0,0.06613333333333334
0.6862,0.2103676913803496,0.7704194260485652,0.33049242424242425,1310,104,6654.0,0.0604
0.696,0.19650391802290537,0.7743467933491687,0.31346153846153846,1333,95,6760.0,0.056133333333333334
